string[64]	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	END
bxcsa35	iycsd87	1	4503	iycsd89	1	1392	iycsd96	1	1010	iycsd51	1	636	iycsd98	1	547	iycse06	1	458	iycse08	1	301	iycsd88	1	280	iycsd15	1	250	iycse14	1	138	iycsd90	1	137	iycsd97	1	110	iycse07	1	61	iycsd99	1	54	iycsd56	1	36	iycse09	1	26	iycsd20	1	20	iycsd93	1	16	iycse15	1	11	iycse03	1	9	iycse12	1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa36	iycsd90	1	4503	iycsd56	1	1392	iycsd99	1	1010	iycsd93	1	636	iycsd20	1	547	iycse09	1	458	iycse15	1	301	iycsd91	1	280	iycse03	1	250	iycse12	1	138	iycsd92	1	137	iycse01	1	110	iycse10	1	61	iycse02	1	54	iycsd61	1	36	iycse11	1	26	iycsd25	1	20	iycsd94	1	16	iycse16	1	11	iycse04	1	9	iycse13	1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa37	iycsd92	1	4503	iycsd61	1	1392	iycse02	1	1010	iycsd94	1	636	iycsd25	1	547	iycse11	1	458	iycse16	1	301	iycsd92	1	280	iycse04	1	250	iycse13	1	138	iycsd71	1	137	iycse02	1	110	iycse11	1	61	iycsd35	1	54	iycsd76	1	36	iycse18	1	26	iycsd40	1	20	iycsd95	1	16	iycse19	1	11	iycse05	1	9	iycse20	1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa38	ipcsb03	20	360	ipevn01	20	360	ipevn04	20	360	ipcsb04	20	360	ipcsb05	15	360	ipevn02	15	360	ipevn03	15	360	ipcal01	10	360	ipwhp01	10	360	ipcsa74	10	360	ipgag09	8	360	recsa01	4	360	bxcsa10	2	360	bxcsa01	2	360	ircsa05	2	360	bxcsa29	2	360	bxcsa19	2	360	iycsa13	2	220	ircsa13	2	220	ircsa23	2	220	ircsa09	2	220	bxcsa02	1	220	bxcsa11	1	220	ircsa06	1	220	ircsa14	1	220	ircsa17	1	220	bxcsa20	1	220	bxcsa30	1	220	ircsa15	1	100	ircsa07	1	100	ircsa10	1	100	ircsa18	1	100	ircsa16	1	100	bxspr50	1	100	bxcsa03	1	100	bxcsa12	1	100	bxcsa31	1	60	bxcsa21	1	60	bxspr53	1	60	ipcsa73	1	60	ipche01	1	60	ircsa08	1	60	bxspr55	1	60	ircsa19	1	60	iycsa50	1	60	ircsa11	1	45	ircsa20	1	45	ircsa12	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa39	ipcsb03	20	360	ipevn01	20	360	ipevn04	20	360	ipcsb04	20	360	ipcsb05	15	360	ipevn02	15	360	ipevn03	15	360	ipcal01	10	360	ipwhp01	10	360	ipcsa74	10	360	ipgag09	8	360	recsa01	4	360	bxcsa13	2	360	bxcsa04	2	360	ircsa05	2	360	bxcsa32	2	360	bxcsa22	2	360	iycsa13	2	220	ircsa13	2	220	ircsa23	2	220	ircsa09	2	220	bxcsa05	1	220	bxcsa14	1	220	ircsa06	1	220	ircsa14	1	220	ircsa17	1	220	bxcsa23	1	220	bxcsa33	1	220	ircsa15	1	100	ircsa07	1	100	ircsa10	1	100	ircsa18	1	100	ircsa16	1	100	bxspr50	1	100	bxcsa06	1	100	bxcsa15	1	100	bxcsa34	1	60	bxcsa24	1	60	bxspr53	1	60	ipcsa73	1	60	ipche01	1	60	ircsa08	1	60	bxspr55	1	60	ircsa19	1	60	iycsa51	1	60	ircsa11	1	45	ircsa20	1	45	ircsa12	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa40	ipcsb03	20	360	ipevn01	20	360	ipevn04	20	360	ipcsb04	20	360	ipcsb05	15	360	ipevn02	15	360	ipevn03	15	360	ipcal01	10	360	ipwhp01	10	360	ipcsa74	10	360	ipgag09	8	360	recsa01	4	360	bxcsa16	2	360	bxcsa07	2	360	ircsa05	2	360	bxcsa35	2	360	bxcsa25	2	360	iycsa13	2	220	ircsa13	2	220	ircsa23	2	220	ircsa09	2	220	bxcsa08	1	220	bxcsa17	1	220	ircsa06	1	220	ircsa14	1	220	ircsa17	1	220	bxcsa26	1	220	bxcsa36	1	220	ircsa15	1	100	ircsa07	1	100	ircsa10	1	100	ircsa18	1	100	ircsa16	1	100	bxspr50	1	100	bxcsa09	1	100	bxcsa18	1	100	bxcsa37	1	60	bxcsa27	1	60	bxspr53	1	60	ipcsa73	1	60	ipche01	1	60	ircsa08	1	60	bxspr55	1	60	ircsa19	1	60	iycsa52	1	60	ircsa11	1	45	ircsa20	1	45	ircsa12	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa41	iycse33	1	5272	iycse35	1	974	iycse42	1	1313	iycse27	1	445	iycse44	1	383	iycse51	1	595	iycse53	1	211	iycse34	1	196	iycse21	1	175	iycse59	1	97	iycse36	1	96	iycse43	1	77	iycse52	1	43	iycse45	1	38	iycse28	1	25	iycse54	1	18	iycse22	1	14	iycse39	1	11	iycse60	1	8	iycse48	1	6	iycse57	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa42	iycse36	1	5272	iycse28	1	974	iycse45	1	1313	iycse39	1	445	iycse22	1	383	iycse54	1	595	iycse60	1	211	iycse37	1	196	iycse48	1	175	iycse57	1	97	iycse38	1	96	iycse46	1	77	iycse55	1	43	iycse47	1	38	iycse29	1	25	iycse56	1	18	iycse23	1	14	iycse40	1	11	iycse61	1	8	iycse49	1	6	iycse58	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa43	iycse38	1	5272	iycse29	1	974	iycse47	1	1313	iycse40	1	445	iycse23	1	383	iycse56	1	595	iycse61	1	211	iycse38	1	196	iycse49	1	175	iycse58	1	97	iycse31	1	96	iycse47	1	77	iycse56	1	43	iycse25	1	38	iycse32	1	25	iycse63	1	18	iycse26	1	14	iycse41	1	11	iycse64	1	8	iycse50	1	6	iycse65	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa44	iycse33	1	5272	iycse35	1	974	iycse42	1	1313	iycse27	1	445	iycse44	1	383	iycse51	1	595	iycse53	1	211	iycse34	1	196	iycse21	1	175	iycse59	1	97	iycse36	1	96	iycse43	1	77	iycse52	1	43	iycse45	1	38	iycse28	1	25	iycse54	1	18	iycse22	1	14	iycse39	1	11	iycse60	1	8	iycse48	1	6	iycse57	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa45	iycse36	1	5272	iycse28	1	974	iycse45	1	1313	iycse39	1	445	iycse22	1	383	iycse54	1	595	iycse60	1	211	iycse37	1	196	iycse48	1	175	iycse57	1	97	iycse38	1	96	iycse46	1	77	iycse55	1	43	iycse47	1	38	iycse29	1	25	iycse56	1	18	iycse23	1	14	iycse40	1	11	iycse61	1	8	iycse49	1	6	iycse58	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa46	iycse38	1	5272	iycse29	1	974	iycse47	1	1313	iycse40	1	445	iycse23	1	383	iycse56	1	595	iycse61	1	211	iycse38	1	196	iycse49	1	175	iycse58	1	97	iycse31	1	96	iycse47	1	77	iycse56	1	43	iycse25	1	38	iycse32	1	25	iycse63	1	18	iycse26	1	14	iycse41	1	11	iycse64	1	8	iycse50	1	6	iycse65	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa47	iycse33	1	5272	iycse35	1	974	iycse42	1	1313	iycse27	1	445	iycse44	1	383	iycse51	1	595	iycse53	1	211	iycse34	1	196	iycse21	1	175	iycse59	1	97	iycse36	1	96	iycse43	1	77	iycse52	1	43	iycse45	1	38	iycse28	1	25	iycse54	1	18	iycse22	1	14	iycse39	1	11	iycse60	1	8	iycse48	1	6	iycse57	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa48	iycse36	1	5272	iycse28	1	974	iycse45	1	1313	iycse39	1	445	iycse22	1	383	iycse54	1	595	iycse60	1	211	iycse37	1	196	iycse48	1	175	iycse57	1	97	iycse38	1	96	iycse46	1	77	iycse55	1	43	iycse47	1	38	iycse29	1	25	iycse56	1	18	iycse23	1	14	iycse40	1	11	iycse61	1	8	iycse49	1	6	iycse58	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa49	iycse38	1	5272	iycse29	1	974	iycse47	1	1313	iycse40	1	445	iycse23	1	383	iycse56	1	595	iycse61	1	211	iycse38	1	196	iycse49	1	175	iycse58	1	97	iycse31	1	96	iycse47	1	77	iycse56	1	43	iycse25	1	38	iycse32	1	25	iycse63	1	18	iycse26	1	14	iycse41	1	11	iycse64	1	8	iycse50	1	6	iycse65	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa50	iycse78	1	5272	iycse80	1	974	iycse87	1	1313	iycse72	1	445	iycse89	1	383	iycse96	1	595	iycse98	1	211	iycse79	1	196	iycse66	1	175	iycsf05	1	97	iycse81	1	96	iycse88	1	77	iycse97	1	43	iycse90	1	38	iycse73	1	25	iycse99	1	18	iycse67	1	14	iycse84	1	11	iycsf06	1	8	iycse93	1	6	iycsf03	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa51	iycse81	1	5272	iycse73	1	974	iycse90	1	1313	iycse84	1	445	iycse67	1	383	iycse99	1	595	iycsf06	1	211	iycse82	1	196	iycse93	1	175	iycsf03	1	97	iycse83	1	96	iycse91	1	77	iycsf01	1	43	iycse92	1	38	iycse74	1	25	iycsf02	1	18	iycse68	1	14	iycse85	1	11	iycsf07	1	8	iycse94	1	6	iycsf04	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa52	iycse83	1	5272	iycse74	1	974	iycse92	1	1313	iycse85	1	445	iycse68	1	383	iycsf02	1	595	iycsf07	1	211	iycse83	1	196	iycse94	1	175	iycsf04	1	97	iycse76	1	96	iycse92	1	77	iycsf02	1	43	iycse70	1	38	iycse77	1	25	iycsf09	1	18	iycse71	1	14	iycse86	1	11	iycsf10	1	8	iycse95	1	6	iycsf11	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa53	iycse78	1	5272	iycse80	1	974	iycse87	1	1313	iycse72	1	445	iycse89	1	383	iycse96	1	595	iycse98	1	211	iycse79	1	196	iycse66	1	175	iycsf05	1	97	iycse81	1	96	iycse88	1	77	iycse97	1	43	iycse90	1	38	iycse73	1	25	iycse99	1	18	iycse67	1	14	iycse84	1	11	iycsf06	1	8	iycse93	1	6	iycsf03	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa54	iycse81	1	5272	iycse73	1	974	iycse90	1	1313	iycse84	1	445	iycse67	1	383	iycse99	1	595	iycsf06	1	211	iycse82	1	196	iycse93	1	175	iycsf03	1	97	iycse83	1	96	iycse91	1	77	iycsf01	1	43	iycse92	1	38	iycse74	1	25	iycsf02	1	18	iycse68	1	14	iycse85	1	11	iycsf07	1	8	iycse94	1	6	iycsf04	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa55	iycse83	1	5272	iycse74	1	974	iycse92	1	1313	iycse85	1	445	iycse68	1	383	iycsf02	1	595	iycsf07	1	211	iycse83	1	196	iycse94	1	175	iycsf04	1	97	iycse76	1	96	iycse92	1	77	iycsf02	1	43	iycse70	1	38	iycse77	1	25	iycsf09	1	18	iycse71	1	14	iycse86	1	11	iycsf10	1	8	iycse95	1	6	iycsf11	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa56	iycse78	1	5272	iycse80	1	974	iycse87	1	1313	iycse72	1	445	iycse89	1	383	iycse96	1	595	iycse98	1	211	iycse79	1	196	iycse66	1	175	iycsf05	1	97	iycse81	1	96	iycse88	1	77	iycse97	1	43	iycse90	1	38	iycse73	1	25	iycse99	1	18	iycse67	1	14	iycse84	1	11	iycsf06	1	8	iycse93	1	6	iycsf03	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa57	iycse81	1	5272	iycse73	1	974	iycse90	1	1313	iycse84	1	445	iycse67	1	383	iycse99	1	595	iycsf06	1	211	iycse82	1	196	iycse93	1	175	iycsf03	1	97	iycse83	1	96	iycse91	1	77	iycsf01	1	43	iycse92	1	38	iycse74	1	25	iycsf02	1	18	iycse68	1	14	iycse85	1	11	iycsf07	1	8	iycse94	1	6	iycsf04	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
